,城市,编号
0,朝阳,101010300
1,平谷,101011500
2,嘉定,101020500
3,崇明,101021100
4,杨浦,101021700
5,宁河,101030700
6,河西,101031300
7,巴南,101040900
8,荣昌,101042700
9,綦江,101043300
10,海林,101050302
11,绥芬河,101050305
12,东安,101050308
13,西安,101050311
14,佳木斯,101050401
15,桦川,101050404
16,富锦,101050407
17,东风,101050410
18,梅河口,101060502
19,集安,101060505
20,二道江,101060508
21,白城,101060601
22,镇赉,101060604
23,东辽,101060703
24,凌海,101070702
25,黑山,101070705
26,太和,101070708
27,营口,101070801
28,站前,101070804
29,老边,101070807
30,海州,101070903
31,清河门,101070906
32,凌源,101071203
33,龙城,101071206
34,大洼,101071302
35,兴隆台,101071305
36,呼和浩特,101080101
37,和林,101080104
38,武川,101080107
39,玉泉,101080110
40,满都拉,101080203
41,达茂旗,101080206
42,昆都仑,101080209
43,九原,101080212
44,海勃湾,101080302
45,锡林郭勒,101080902
46,朱日和,101080908
47,太仆寺,101080911
48,正蓝旗,101080914
49,乌拉盖,101080917
50,张家口,101090301
51,康保,101090304
52,蔚县,101090307
53,万全,101090310
54,赤城,101090313
55,桥西,101090316
56,承德县,101090403
57,滦平,101090406
58,宽城,101090409
59,鹰手营子矿,101090412
60,丰南,101090502
61,滦南,101090505
62,玉田,101090508
63,迁安,101090511
64,路北,101090514
65,大同,101100201
66,天镇,101100204
67,浑源,101100207
68,南郊,101100210
69,平定,101100303
70,榆林,101110401
71,佳县,101110404
72,横山,101110407
73,绥德,101110410
74,榆阳,101110413
75,潼关,101110503
76,富平,101110506
77,合阳,101110509
78,临渭,101110512
79,洛南,101110602
80,镇安,101110605
81,山阳,101110608
82,铜川,101111001
83,耀州,101111004
84,潍坊,101120601
85,临朐,101120604
86,安丘,101120607
87,潍城,101120610
88,奎文,101120613
89,微山,101120703
90,金乡,101120706
91,梁山,101120709
92,任城,101120712
93,新泰,101120802
94,博兴,101121102
95,惠民,101121105
96,滨城,101121108
97,东营,101121201
98,利津,101121204
99,荣成,101121303
100,石岛,101121306
101,天山,101130102
102,达坂城,101130105
103,头屯河,101130111
104,西白杨沟,101130114
105,克拉玛依,101130201
106,独山子,101130204
